,CVE_ENT,DOMINIO,SITUACION_CONYUGAL,MATERIAL_PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
PERT_INDIGENA,0.05725612346028606,0.02195950729151912,0.000622964745858634,0.005790740478550172,0.0026334418802208106,0.010901883052527284,0.0,0.003412147812544264,0.001444145547217901,0.00513945915333427,0.0,0.008494973807164042,0.005125300863655724,0.007914483930341198,0.006420068027210934,0.0010332209227236655,0.003369672943508406,0.007560526688376012,0.0007079144839303719,0.0009344471187880288,,0.06784652413988394,0.003993467933491712,0.0012034546226815657,0.0,0.0,0.0,0.0,0.0,0.003086507149936346,0.0017981027891830648,0.0074897352399830195,0.0006371230355373348,7.07914483930594e-05,2.831657935722376e-05,0.0012884043607531924,0.011015149369956156,0.007716267874840743,0.0022228514795412657,0.0014866204162537144,0.0018405776582189003,0.0018972108169332813,0.0038227382132237863
LENG_INDIGENA,0.00886308933880795,0.008806456180093392,0.001571570154325297,0.0034263061022228314,0.0033271980744725483,0.004587285855868628,0.0,9.910802775026095e-05,0.001883052527254714,0.002279484638255669,0.0,0.030992496106470303,0.00039643211100106603,0.014158289678606795,0.0005243764172336185,0.0018798880677333596,0.0019396856859691392,0.013492850063712258,1.415828967861188e-05,0.0006795979045731259,0.05748265609514369,,0.0023010688836104577,0.011510689508707327,0.0,0.0,0.00019164430816409617,0.0,4.594715423511531e-06,0.00032564066260800664,0.01253008636556705,0.0068809287838029086,0.0002831657935721488,0.0,0.0,0.0007362310632875069,0.017570437491151104,0.0076879512954835085,0.0014158289678606773,0.0006937561942517379,0.00022653263485772346,0.0038368965029023983,0.001911369106611871
VERIF_SITUACION_PAREJA,0.050474302704233386,0.014795412714144062,-0.007461418660625862,0.00824012459294916,0.006342913776015813,0.016536882344612747,0.0,0.012402661758459587,0.003100665439614891,0.012855727028175012,0.0,0.02538581339374202,0.012360186889423797,0.207560526688376,0.012018140589569204,0.010877520269785479,0.01169474727452926,0.08419934871867474,0.0007928642220020432,0.001769786209825841,0.009047147104629727,0.0019113691066120042,,0.0064703383831233195,0.0,0.5738458460925384,0.0001533154465312325,0.0,0.037695554699285094,0.009174571711737278,0.0037802633441880173,0.050106187172589564,0.003822738213223875,0.0005380150077870738,0.0003822738213223875,0.0036528387370805106,0.06583604700552177,0.14871867478408612,0.006144697720515379,0.03349851337958376,0.0067251875973382445,0.009797536457595868,0.03286139034404641
ENTREVISTADA_TRABAJA,0.0036386804474020096,0.009301996318844652,0.002251168058898423,0.004006795979045718,0.005691632450799911,0.007942800509698422,0.0,0.0007220727736089616,0.002279484638255691,0.008268441172306384,0.0,0.008225966303270526,0.006512813252159177,0.01115673226674212,0.0026927437641723895,0.003228815383511452,0.010264760016989971,0.0046439190145829866,0.0007079144839303719,0.0017981027891830425,0.0014583038368964907,0.0004672235593940588,0.00225653206650831,,0.0,0.00016873200818310342,0.0,0.0021379980563654088,0.0,0.13051111425739773,0.0025201755627920265,0.0048704516494407326,0.0021803766105054747,4.247486903583564e-05,0.0,0.0019113691066118487,0.04526405210250606,0.011284156873849649,0.0034829392609373013,0.001189296333002976,0.0019113691066119376,0.01639529944782666,0.005776582188871582
PAREJA_TRABAJA,0.002760866487328384,0.029789041483788713,0.04352258247203733,0.03044032280900466,0.0044881778281183225,0.007447260370947206,0.0,0.00015574118646468626,0.000254849214214925,0.03126150361036386,0.00018405776582188781,0.018830525272547048,0.002690075038935347,0.03318703100665439,0.004450113378684839,5.7401162373493796e-05,0.01921279909386948,0.0048421350700835085,0.00011326631742889504,0.0017131530511114157,0.005819057057907395,0.0001415828967861188,0.010139548693586709,0.009868327905988928,,0.0,0.0,0.0008970621215519392,0.0,0.009627636981452681,0.0022511680588985115,0.0025909670111850637,0.004162537165510382,0.0,0.0,0.0007503893529661632,0.05145122469205725,0.012501769786209826,0.006144697720515379,0.0005521732974656413,0.0003397989522865741,0.0030581905705790112,0.04604275803482938
PAREJA_GANANCIAS,0.20976921987823877,0.20681013733540982,0.09391193543819902,0.13478691774033696,0.1163669828684695,0.19197224975222993,0.0,0.019481806597762975,0.029958940959932033,0.17954127141441312,0.0010193968568597,0.21810845249893812,0.03174288545943656,0.1015007787059323,0.03041383219954652,0.027566908229891628,0.1172731134079003,0.08684694888857422,0.0020671102930766238,0.008410024069092414,0.10165651989239695,0.009117938553022852,0.10385985748218529,0.049554013875123856,0.19048502139800286,,0.38043311613645076,0.01577334230395455,0.8972675401988628,0.07741752796262216,0.05439614894520743,0.1271414413138893,0.07900325640662609,0.0073481523431969675,0.0015857284440039753,0.020274670819764952,0.18400113266317433,0.11043465949313322,0.06981452640521024,0.02017556279201469,0.020571994903015735,0.06822879796120623,0.17634149794704795
PAREJA_GANANCIAS_FRECUENCIA,0.054863372504601514,0.10184057765821881,0.00019821605550043308,0.06651564491009485,0.08935296616168764,0.09739487469913632,0.0,0.0029732408325074287,0.01418660625796404,0.08071640945773753,0.0,0.09924961064703382,0.0015290952852895722,0.014328189154750093,0.0025226757369614774,0.003989380784960872,0.047416112133654265,0.00288829109443578,-2.831657935722376e-05,0.0009910802775024764,0.047132946340082096,0.000891972249752282,0.08551068883610453,0.0032564066260795553,0.0,4.334467626818661e-05,,0.0,9.20927162463947e-05,0.009571003822738256,0.01715984709047149,0.05106895087073482,0.055231488036245203,2.831657935722376e-05,2.831657935722376e-05,0.0014724621265750804,0.06025768087215071,0.019071216197083407,0.03723630185473596,0.0032422483364009658,0.0007220727736089616,0.04683562225683132,0.0912784935579782
PAREJA_APORTA_PARA_GASTO,0.003454622681580144,0.03172872716975785,0.04539147670961341,0.008070225116805885,0.011255840294492381,0.02607956958799378,0.0,0.021917032422483374,0.0009486054084666629,0.015559960356788905,0.00011326631742889504,0.035622256831374745,0.041597055075746917,0.0105762423899193,0.0008078231292517613,0.00043050871780150326,0.03184199348718677,0.002279484638255669,0.0,0.0008919722497522153,0.0056208410024068955,-2.831657935717935e-05,0.009040973871733993,0.03834064844966727,0.0,0.0,0.0,,0.0,0.0029732408325074955,0.0011892963330029538,0.004799660201047717,0.002123743451791027,0.0001982160555004775,0.0,0.013025626504318221,0.0275237151352117,0.007673793005804908,0.025838878663457465,0.002336117796970116,0.000863655670395036,0.001472462126575036,0.00979753645759589
PAREJA_CUANTO_APORTA_GASTO,0.1021520600311483,0.15785077162678746,0.011000991080277477,0.0639388361885884,0.05521732974656659,0.17806880928783803,0.0,0.052074189437915884,0.018561517768653536,0.11694747274529235,0.0011185048846099166,0.15888432677332573,0.022724054934164007,0.07788475152201613,0.017375283446712065,0.04643754036019225,0.0736797394874699,0.043848223134645314,0.001288404360753237,0.006923403652838722,0.04257397706357069,0.007475576950304453,0.06333135391923991,0.03471612629194389,0.0,1.9028803563325704e-05,0.05818321195860483,0.10556926067130148,,0.0860116097975365,0.03388078720090613,0.07775732691490866,0.026051253008636577,0.004035112558402942,0.0023219595072915267,0.04026617584595778,0.09861248761149655,0.09497380716409458,0.051522016140450225,0.015432535749681443,0.02014724621265753,0.01683420642786345,0.06386804474019536
LIBERTAD_USAR_DINERO,0.004615602435225874,0.011128415687384919,9.910802775019434e-05,0.0025768087215064517,0.002944924253150183,0.01036386804474021,0.0,0.0016706781820756244,0.0036811553164377785,0.0431827835197508,0.0,0.01543253574968142,0.002746708197649794,0.011793855302279476,0.0023100907029478977,0.0024251991102819614,0.00607390627212232,0.004020954268724286,5.663315871444752e-05,0.0008778139600736257,0.0026759167492566684,0.0018122610788616988,0.004112232779097402,0.06729435084241824,0.0,0.00027643225547497875,0.0004024530471444798,0.0,6.500088426879547e-05,,0.00412006229647457,0.03584878946623247,0.0022511680588984894,0.0,0.0,0.0015857284440039087,0.022539997168342076,0.010193968568596922,0.003171456888007973,0.0030157157015432423,0.0017131530511114378,0.007489735239982975,0.013209684270140132
