,DOMINIO,T_INSTRUM,ESTRATO,PISOS,P1_2,P1_2_A,FOCOS,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P1_4_7,P1_4_8,P1_4_9,AGUA,DRENAJE,P1_7,P1_9,P1_10_1,P1_10_2,P1_10_3,P1_10_4,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRA,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,LENG_ESPAÑOL,TRABAJO,P2_14,P2_15,P10_1,P10_3,NACIO_VIV,NACIO_MUERT,ABORTO,P10_5,P10_6ANIO,P10_6MES,P10_8_abuso,P10_8_atencion,P10_7
1621,0,0,0,1,1,2,5,0,1,0,0,1,1,1,0,0,1,1,4,1,,,,,1,2,2.0,2.0,2,2.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,1,1,2,0,0,1
1622,0,0,0,1,4,5,7,0,0,0,0,1,1,1,0,0,1,1,8,1,,,,,3,2,2.0,2.0,2,1.0,1,0,0.0,1,1.0,0,10.0,,5,0,1,0,0,1,3,6,1,0,1
1623,0,0,0,0,1,1,2,0,1,0,0,1,0,1,0,0,1,4,4,1,,,,,1,0,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,5,1,2,0,0,4,4,1,0,0,4
1624,0,0,1,1,3,3,6,1,1,1,0,1,1,1,0,1,0,1,7,1,,,,,2,2,1.0,2.0,2,1.0,1,0,0.0,0,,0,10.0,,8,1,2,0,0,4,4,5,0,0,0
1629,0,0,0,1,1,2,3,0,1,0,0,1,1,0,0,1,1,1,4,1,,,,,1,2,2.0,2.0,2,2.0,1,0,2.0,0,,0,2.0,6.0,8,0,1,0,0,0,3,2,0,1,4
1636,0,0,0,1,1,2,2,1,1,0,0,1,0,0,0,0,0,0,4,1,,,,,1,4,2.0,2.0,1,2.0,1,0,0.0,1,1.0,0,10.0,,8,1,2,0,0,0,2,9,0,0,0
1637,0,0,0,1,2,3,6,0,1,1,0,1,1,1,0,1,1,1,7,1,,,,,2,3,1.0,1.0,1,5.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,0,9,0,0,4
1638,0,0,0,1,1,2,4,0,1,0,0,1,1,1,0,0,1,1,4,1,,,,,1,2,3.0,3.0,2,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,0,3,10,0,0,4
1639,0,1,0,1,2,3,5,1,0,0,0,1,1,1,0,0,0,1,4,1,,,,,3,2,2.0,2.0,4,3.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,4,4,11,0,0,4
1640,0,0,0,2,1,2,4,0,1,0,0,1,1,1,0,1,1,1,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,8,0,1,1,1,0,3,10,1,0,4
1641,0,0,0,1,2,4,10,0,1,0,0,1,1,1,0,0,0,1,7,1,,,,,1,3,2.0,3.0,1,2.0,1,0,0.0,0,,0,3.0,4.0,5,1,2,0,0,0,3,8,0,0,4
1652,0,0,0,2,1,3,6,0,1,0,0,1,1,1,0,0,1,1,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,0,2,8,0,0,4
1653,0,0,0,1,1,2,3,0,1,0,0,1,0,1,0,0,1,1,6,1,,,,,1,5,2.0,3.0,1,2.0,0,0,0.0,0,,0,10.0,,5,0,1,0,0,0,4,10,0,0,4
1654,0,0,0,2,1,3,6,1,1,0,0,1,1,1,0,0,0,1,4,1,,,,,1,4,2.0,3.0,2,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,4,2,3,0,0,1
1655,0,0,0,1,3,4,5,0,1,0,0,1,1,1,1,1,1,1,6,1,,,,,3,1,2.0,2.0,1,2.0,1,0,0.0,0,,1,,1.0,5,0,1,0,0,0,3,11,0,0,4
1656,0,0,1,2,1,3,4,0,1,0,0,1,1,1,0,0,0,1,4,1,,,,,1,2,2.0,2.0,2,2.0,1,0,0.0,0,,1,,1.0,8,0,1,1,0,1,3,11,0,0,1
1657,0,0,1,1,1,3,5,0,1,1,0,1,1,1,1,1,0,1,4,1,,,,,1,2,2.0,2.0,2,0.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,4,0,8,0,1,4
1658,0,0,1,1,1,2,5,0,1,0,0,1,1,1,0,0,1,1,4,1,,,,,1,1,2.0,2.0,2,1.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,3,4,0,0,4
1659,0,0,1,2,1,3,9,0,1,1,0,1,1,0,1,1,0,1,3,1,,,,,0,3,3.0,2.0,4,3.0,1,0,0.0,1,1.0,1,,1.0,2,0,1,0,0,2,4,1,0,0,2
1660,0,2,1,2,1,2,1,1,1,0,0,1,1,0,0,1,1,1,2,1,,,,,0,5,3.0,3.0,1,2.0,1,0,0.0,0,,1,,4.0,5,0,1,0,0,4,3,3,0,0,4
1661,0,0,1,2,1,3,6,0,1,0,0,1,1,1,0,1,0,1,3,1,,,,,0,4,2.0,2.0,4,3.0,1,0,0.0,0,,1,,1.0,2,0,1,0,0,2,5,10,0,0,2
1662,0,0,1,2,1,2,8,0,1,0,0,1,1,1,0,0,0,1,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,1,4,0,0,4
1663,0,0,1,1,1,2,4,1,1,0,0,0,1,1,0,0,0,1,5,1,,,,,0,4,1.0,2.0,2,0.0,1,0,0.0,0,,1,,4.0,8,0,1,0,0,0,3,8,0,0,0
1664,0,0,1,1,1,3,8,1,1,0,0,1,1,1,0,0,0,1,3,1,,,,,1,2,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,3,0,0,1,1
1665,0,2,1,2,1,3,5,0,1,0,0,1,1,1,1,0,0,1,5,1,,,,,4,2,1.0,2.0,2,2.0,1,1,0.0,0,,0,8.0,,8,1,1,0,1,6,4,8,1,0,4
1666,0,0,1,1,1,2,4,0,1,1,0,1,0,1,0,0,0,1,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,0,2,9,0,0,4
1667,0,0,1,1,1,2,2,0,1,0,0,0,1,1,0,0,0,4,4,1,,,,,1,1,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,2,0,0,0,4,7,1,1,4
1668,0,0,1,2,2,5,8,0,1,1,0,1,1,1,1,1,0,1,3,1,,,,,1,1,2.0,2.0,4,0.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,6,4,11,1,1,4
1669,0,0,1,2,6,12,30,0,1,1,1,1,1,1,1,1,0,1,7,1,,,,,2,1,1.0,1.0,2,2.0,1,0,2.0,0,,1,,4.0,8,0,1,0,0,2,3,11,1,0,2
1670,0,0,1,1,1,2,5,0,0,0,0,1,1,1,0,1,0,1,4,1,,,,,1,3,2.0,2.0,4,3.0,1,0,2.0,0,,0,10.0,,5,1,1,0,1,0,4,7,0,0,4
1671,0,0,1,2,2,3,4,1,1,0,0,1,0,1,1,0,0,1,5,1,,,,,1,2,2.0,3.0,1,0.0,1,0,0.0,0,,1,,4.0,5,0,1,0,0,4,1,6,1,0,4
1673,0,0,1,2,1,3,8,0,1,0,0,1,1,1,0,1,1,1,4,1,,,,,1,0,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,5,1,2,0,0,0,3,3,1,0,4
1674,0,0,1,1,1,3,8,1,1,1,0,1,1,1,1,0,0,1,4,1,,,,,0,3,2.0,2.0,4,4.0,1,0,0.0,0,,0,2.0,6.0,8,0,1,0,0,6,3,7,0,0,4
1679,0,1,1,1,2,3,6,0,1,0,0,1,1,1,0,1,1,1,6,1,,,,,2,2,1.0,1.0,4,2.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,0,5,2,1,0,4
1680,0,0,1,1,1,3,7,0,1,0,0,1,1,1,0,1,0,1,3,1,,,,,1,1,2.0,2.0,1,2.0,1,1,0.0,0,,1,,4.0,5,0,1,0,0,0,1,9,0,0,0
1681,0,0,1,2,1,2,8,0,1,0,0,1,1,0,1,1,0,1,4,1,,,,,1,2,2.0,2.0,4,1.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,0,3,10,0,1,4
1682,0,0,1,2,2,4,5,1,1,0,0,1,1,1,0,1,0,1,5,1,,,,,2,3,1.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,0,2,2,0,0,0
1686,0,2,1,2,1,8,15,0,1,1,0,1,1,1,0,1,0,1,2,1,,,,,0,2,2.0,2.0,4,1.0,1,1,2.0,0,,0,8.0,,0,0,1,0,0,0,1,11,1,1,1
1687,0,0,1,2,2,3,9,1,1,1,0,1,1,1,1,1,0,1,4,1,,,,,1,3,2.0,2.0,4,3.0,1,0,2.0,0,,1,,5.0,0,0,1,0,0,1,1,6,1,1,1
1688,0,0,1,1,2,3,5,1,1,0,0,1,1,0,0,1,1,1,4,1,,,,,2,1,1.0,2.0,1,2.0,1,0,2.0,0,,0,1.0,4.0,5,0,1,0,0,0,2,9,0,0,4
1689,0,0,1,1,1,2,3,0,0,0,0,1,0,0,0,0,1,4,4,1,,,,,2,1,1.0,3.0,4,2.0,1,0,0.0,0,,0,10.0,,7,0,1,0,0,0,5,9,1,0,4
1691,0,0,1,2,1,5,9,1,1,0,0,1,1,1,0,1,0,1,3,1,,,,,1,2,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,2,0,1,0,0,2,1,5,1,0,4
1692,0,0,1,1,1,1,3,1,1,0,0,1,1,1,0,1,1,1,3,1,,,,,1,6,3.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,4,1,0,0,4
1697,0,0,1,2,2,5,7,1,1,1,0,1,1,1,1,1,0,1,7,1,,,,,2,1,1.0,2.0,4,1.0,1,0,2.0,0,,0,10.0,,0,2,2,0,1,1,5,6,0,0,1
1698,0,0,1,1,2,3,5,1,1,0,0,1,1,1,0,1,0,1,6,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,8,1,2,0,0,0,4,1,1,1,4
1731,0,0,1,1,1,2,4,0,1,0,0,1,1,1,1,1,1,1,3,1,,,,,1,2,2.0,3.0,2,2.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,0,0,7,0,1,4
1732,0,2,1,2,1,2,3,0,1,0,0,1,1,1,0,0,0,1,4,1,,,,,0,3,2.0,2.0,3,2.0,1,0,0.0,0,,0,1.0,4.0,2,0,1,0,0,2,3,3,1,0,4
1733,0,2,1,1,1,1,3,0,1,0,0,0,1,0,0,0,1,1,2,1,,,,,0,5,2.0,2.0,1,2.0,1,0,,0,,1,,1.0,8,1,1,0,1,8,4,0,0,0,4
1734,0,2,0,1,3,4,10,0,1,0,0,1,1,1,0,0,0,1,7,1,,,,,2,2,1.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,4,3,3,0,0,4
1794,0,2,1,1,3,6,9,1,1,0,1,1,1,1,0,1,0,0,6,1,,,,,2,2,1.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,1,1,2,0,0,1
1795,0,0,1,2,2,5,3,1,1,0,0,0,1,1,0,0,0,0,6,1,,,,,3,1,2.0,2.0,2,1.0,1,0,2.0,0,,1,,4.0,0,1,2,0,0,4,4,2,1,1,4
1796,0,0,1,2,2,4,7,0,0,0,0,1,1,1,0,0,0,1,5,1,,,,,1,4,3.0,2.0,1,2.0,1,0,2.0,0,,0,6.0,1.0,0,0,1,0,1,1,5,8,0,0,1
1797,0,0,1,2,2,6,15,1,1,1,0,1,1,1,1,1,0,1,5,1,,,,,1,3,2.0,2.0,3,0.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,6,3,11,0,1,1
1824,0,0,1,1,1,3,6,1,1,0,0,1,1,1,1,1,0,0,4,1,,,,,1,2,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,1,9,0,0,1
1825,0,0,1,1,3,4,5,1,1,0,0,1,1,1,0,0,0,0,4,1,,,,,1,4,2.0,2.0,2,2.0,1,0,2.0,0,,1,,1.0,0,1,0,2,0,1,5,7,0,1,1
1826,0,0,1,2,2,4,9,0,1,1,0,1,1,1,1,1,0,0,5,1,,,,,1,3,2.0,2.0,2,2.0,1,0,2.0,0,,1,,4.0,0,1,2,0,1,4,4,8,0,0,1
1827,0,0,1,1,3,5,6,0,1,0,0,1,1,1,1,0,0,0,9,2,0.0,1.0,0.0,0.0,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,1,2,2,1,1,4,0,0,0,1
1828,0,0,1,2,3,4,7,0,1,0,0,1,1,1,1,0,0,0,6,1,,,,,1,4,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,1,8,0,0,1
1845,0,0,1,1,1,3,3,0,1,0,0,1,1,0,0,0,0,1,3,1,,,,,1,1,3.0,2.0,4,0.0,1,0,2.0,0,,0,10.0,,1,0,1,0,0,0,4,3,0,0,0
1848,0,0,1,1,4,6,6,1,1,0,0,1,1,1,0,0,1,0,9,1,,,,,4,1,2.0,2.0,2,1.0,1,0,2.0,0,,0,10.0,,8,1,2,2,0,1,5,6,0,0,1
1850,0,0,1,1,2,5,10,0,1,0,0,1,1,1,1,1,0,0,3,1,,,,,1,1,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,4,0,1,1,1
1851,0,0,1,2,2,5,9,0,1,0,0,1,1,1,1,0,0,0,3,1,,,,,0,1,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,6,2,9,1,0,1
1852,0,0,1,1,1,4,6,0,1,0,0,1,1,0,0,0,1,1,6,1,,,,,3,1,2.0,2.0,1,2.0,1,0,2.0,0,,1,,3.0,0,1,2,0,0,1,3,8,0,0,1
1853,0,2,1,1,2,3,5,1,1,0,0,1,1,1,0,0,1,1,7,1,,,,,2,1,1.0,1.0,1,5.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,1,2,1,0,0
1854,0,0,1,1,1,2,4,1,1,0,0,1,1,1,0,0,1,0,4,1,,,,,1,1,2.0,2.0,2,1.0,1,0,2.0,0,,1,,4.0,0,1,2,0,0,1,3,10,0,0,1
1855,0,1,1,1,2,3,4,0,1,0,0,1,0,1,0,0,1,0,3,1,,,,,2,1,3.0,1.0,1,2.0,1,0,0.0,0,,1,,3.0,1,0,1,0,0,1,3,0,0,0,1
1856,0,2,1,1,4,5,4,1,1,0,0,1,1,1,1,0,0,0,6,1,,,,,2,3,1.0,1.0,1,2.0,1,0,2.0,0,,0,7.0,,8,1,0,0,1,0,2,9,0,0,1
1857,0,0,1,1,3,6,13,0,1,1,0,1,1,1,0,0,0,1,5,1,,,,,2,1,2.0,1.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,0,0,10,0,1,0
1862,0,0,1,1,1,5,4,0,1,0,0,0,1,0,0,0,0,1,2,1,,,,,1,4,3.0,3.0,1,5.0,1,0,2.0,0,,0,10.0,,1,1,0,1,0,0,3,11,0,0,0
1863,0,0,1,2,3,5,5,0,1,0,0,1,1,0,0,0,1,1,7,1,,,,,3,3,2.0,2.0,1,5.0,1,0,2.0,0,,0,10.0,,1,1,2,0,0,0,5,2,0,0,0
1864,0,0,1,1,1,2,2,0,1,0,0,1,1,1,0,0,1,0,4,1,,,,,1,2,2.0,2.0,1,1.0,1,0,2.0,0,,1,,4.0,0,0,1,0,0,1,2,8,1,0,1
1870,0,1,1,1,3,4,5,0,1,1,0,1,1,1,1,0,0,0,8,1,,,,,3,1,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,1,2,4,0,0,1
1873,0,0,1,1,2,3,4,1,1,0,0,1,1,1,0,0,0,0,4,1,,,,,1,3,2.0,2.0,2,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,1,9,0,0,1
1874,0,0,1,1,2,3,8,1,1,0,0,1,1,1,1,0,1,1,5,1,,,,,1,3,2.0,2.0,2,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,4,5,0,1,1
1926,0,1,1,2,3,4,13,1,1,0,1,1,1,1,1,0,0,0,8,1,,,,,3,4,2.0,2.0,2,0.0,1,0,2.0,0,,0,10.0,,1,0,1,0,0,1,1,8,0,0,1
1927,0,0,1,1,2,3,5,1,1,0,0,1,1,1,1,1,0,0,5,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,8,1,1,0,1,6,3,4,0,0,0
1928,0,0,1,1,3,4,6,1,0,0,0,1,1,0,0,0,0,0,8,1,,,,,1,4,2.0,2.0,1,5.0,1,0,0.0,0,,0,10.0,,5,0,1,0,0,0,1,11,0,0,0
1929,0,2,1,1,2,4,7,0,1,1,0,1,1,1,1,1,0,0,7,1,,,,,2,1,1.0,1.0,2,1.0,1,0,2.0,0,,0,10.0,,8,1,2,0,0,0,5,7,0,0,0
1930,0,1,1,2,1,6,10,0,1,0,0,1,1,1,1,1,0,0,2,1,,,,,0,1,2.0,2.0,1,2.0,1,0,0.0,0,,1,,4.0,4,0,1,0,0,6,5,3,1,1,1
1931,0,4,1,2,1,3,5,0,1,0,0,1,1,1,0,0,0,0,1,1,,,,,0,2,2.0,3.0,1,2.0,1,0,2.0,0,,0,7.0,,8,0,1,0,0,4,0,9,0,0,0
1932,0,0,1,1,3,4,8,1,1,0,0,1,1,1,1,1,1,0,6,1,,,,,3,1,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,5,0,1,0,0,0,0,11,0,0,0
1933,0,0,1,1,1,1,3,1,1,1,0,1,1,1,0,1,0,0,5,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,1,2,4,0,0,0
1934,0,1,1,2,2,3,7,0,1,0,1,1,1,1,1,1,0,0,4,1,,,,,0,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,4,5,0,0,0,4
1935,0,0,2,2,2,8,9,1,1,0,0,1,1,1,1,0,0,0,5,1,,,,,1,2,2.0,2.0,1,2.0,1,1,0.0,0,,0,10.0,,0,0,1,0,0,0,1,11,0,0,0
1936,0,0,2,1,1,4,6,1,1,1,0,1,1,1,1,1,0,0,5,1,,,,,1,3,2.0,2.0,4,1.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,1,1,2,0,0,1
1937,0,4,1,1,3,5,12,1,1,1,0,1,1,1,0,1,0,0,9,1,,,,,3,2,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,5,0,1,0,1
1938,0,0,1,2,2,5,8,0,1,0,0,1,1,1,1,0,0,0,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,0,4,8,0,0,0
1939,0,0,1,2,2,4,6,1,1,0,0,1,1,1,1,0,0,0,7,1,,,,,3,2,2.0,2.0,2,2.0,1,0,2.0,0,,1,,1.0,0,1,2,0,0,1,2,3,0,0,1
1940,0,0,1,1,2,4,9,1,1,0,1,1,1,1,1,1,0,1,4,1,,,,,1,4,2.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,4,2,0,0,0
1941,0,0,1,2,4,15,20,1,1,1,1,1,1,1,1,1,0,0,7,1,,,,,2,3,1.0,1.0,3,1.0,1,1,2.0,0,,0,8.0,,8,0,1,0,0,6,2,6,0,0,0
1942,0,0,1,1,2,5,13,1,1,0,0,1,1,1,1,0,0,0,4,1,,,,,1,3,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,1,6,0,0,1
1943,0,0,2,2,2,4,6,1,1,0,1,1,1,1,1,1,0,0,4,1,,,,,1,1,2.0,2.0,1,2.0,1,0,0.0,0,,1,,4.0,0,0,1,0,0,0,1,6,0,0,0
1944,0,0,1,2,1,2,4,0,1,1,0,1,1,0,1,1,0,1,5,1,,,,,1,2,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,4,10,0,0,1
1945,0,0,1,2,2,5,13,1,1,1,0,1,1,1,1,1,0,0,5,1,,,,,1,4,2.0,2.0,4,3.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,6,2,10,0,0,1
1946,0,0,1,1,1,2,3,1,1,1,0,1,1,1,0,0,1,1,5,1,,,,,1,2,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,1,3,5,0,0,1
1947,0,2,1,1,2,3,5,1,1,0,0,1,1,1,1,0,0,0,8,1,,,,,2,3,1.0,1.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,0,5,1,1,1
1948,0,0,2,2,2,4,7,1,1,1,0,1,1,1,0,0,0,0,5,1,,,,,1,2,2.0,3.0,2,2.0,1,0,2.0,0,,1,,4.0,0,1,2,0,0,1,5,8,0,1,1
1950,0,0,2,2,1,2,5,1,1,0,0,1,1,1,1,0,0,0,4,1,,,,,1,1,3.0,2.0,1,5.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,3,7,0,0,1
1951,0,0,1,1,2,3,5,1,1,0,0,1,1,1,1,1,0,0,5,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,1,3,10,0,0,1
1952,0,0,1,2,2,3,10,0,1,0,0,1,1,1,1,1,0,0,4,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,1,0,1,1,1
1953,0,0,2,1,1,4,5,0,1,0,0,1,1,0,1,1,0,0,3,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,4,11,0,0,0
1954,0,1,1,1,2,3,5,1,1,0,1,1,1,1,1,1,0,0,5,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,1,2,10,1,1,1
1956,0,0,1,1,2,4,7,0,1,0,0,1,1,1,1,0,0,0,5,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,5,0,1,0,0,0,4,1,0,0,0
1957,0,0,1,1,1,2,5,1,1,0,0,1,1,1,0,0,0,0,3,1,,,,,1,1,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,1,1,0,0,1,4,9,0,0,1
1958,0,0,1,1,1,2,5,0,1,0,0,1,1,1,1,0,0,0,4,1,,,,,1,2,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,0,1,10,0,0,0
1960,0,0,1,1,2,3,8,0,1,0,0,1,1,1,1,0,0,0,4,1,,,,,1,3,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,1,1,0,0,1
1961,0,2,1,1,2,4,9,1,1,0,0,1,1,1,1,0,0,0,5,1,,,,,3,0,1.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,5,1,2,0,0,9,5,9,0,0,0
1962,0,0,1,1,4,6,9,1,1,0,0,1,1,1,1,0,0,0,4,1,,,,,1,5,3.0,3.0,2,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,6,1,9,1,0,4
1965,0,0,2,1,1,4,6,1,1,0,0,1,1,0,0,0,0,0,5,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,5,2,3,0,0,0,4,3,0,0,0
1967,0,0,1,1,1,3,8,1,1,0,1,1,1,1,0,1,0,0,4,1,,,,,1,2,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,1,2,0,1,1,4,5,1,0,1
1969,0,0,2,1,4,6,13,1,1,1,0,1,1,1,1,1,0,0,8,1,,,,,2,2,1.0,1.0,4,3.0,1,1,2.0,0,,0,8.0,,5,0,1,0,1,0,3,5,0,1,0
1971,0,0,1,1,2,3,8,1,1,0,0,1,1,1,1,0,0,0,3,1,,,,,1,2,2.0,2.0,3,1.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,3,4,0,0,1
1972,0,0,1,2,2,4,10,1,1,0,0,1,1,0,1,0,0,0,5,1,,,,,1,2,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,1,1,1,1,1,0,1
1973,0,0,2,1,2,3,7,1,1,0,0,1,1,1,0,0,0,0,4,1,,,,,2,0,1.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,0,4,3,0,0,4
1974,0,0,2,2,1,3,5,1,1,0,0,1,1,0,1,1,0,0,3,1,,,,,1,4,2.0,2.0,1,5.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,0,1,0,0,1
1976,0,4,2,2,2,3,7,1,1,0,1,1,1,1,0,1,0,0,4,1,,,,,0,3,3.0,3.0,1,2.0,1,0,2.0,0,,1,,1.0,0,1,3,0,1,1,1,9,1,0,1
1977,0,0,2,2,3,6,8,1,1,0,1,1,1,1,1,1,0,0,3,1,,,,,1,2,2.0,2.0,4,3.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,4,5,0,0,1
1979,0,0,1,2,1,2,7,1,1,0,0,1,1,1,0,0,0,0,3,1,,,,,1,0,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,5,4,0,0,1
1980,0,0,2,1,3,4,10,1,1,1,1,1,1,1,1,1,0,0,6,1,,,,,2,3,3.0,1.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,0,0,1,1,0,1
1981,0,0,1,1,2,4,14,1,1,0,1,1,1,1,0,1,0,0,5,1,,,,,1,2,2.0,2.0,3,1.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,1,3,7,0,1,1
1982,0,2,1,1,2,3,9,0,1,0,1,1,0,1,0,1,0,0,4,1,,,,,2,1,2.0,1.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,2,4,0,0,0
2027,0,0,2,2,1,3,9,1,1,1,0,1,1,1,1,0,0,0,4,1,,,,,1,3,2.0,2.0,2,2.0,1,0,2.0,0,,1,,4.0,0,0,1,0,0,1,3,6,0,0,1
2028,0,0,1,2,1,2,7,1,1,1,0,1,1,1,1,1,0,0,4,1,,,,,1,2,2.0,2.0,4,3.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,6,5,6,0,0,1
2029,0,0,2,1,3,6,13,1,1,1,1,1,1,1,1,1,0,0,6,2,0.0,1.0,0.0,0.0,1,2,2.0,2.0,4,2.0,1,1,2.0,0,,1,,1.0,0,0,1,0,0,1,1,2,0,0,1
2030,0,0,2,1,1,2,4,1,1,0,0,1,1,1,1,1,0,0,3,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,0,1,0,1,1,0
2031,0,0,1,2,1,4,7,1,1,1,0,1,1,1,1,0,0,0,3,1,,,,,1,1,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,2,0,1,0,0,4,0,9,0,1,4
2032,0,0,1,1,3,4,6,1,1,0,1,1,1,1,1,1,0,1,5,1,,,,,1,3,3.0,1.0,2,2.0,1,0,2.0,0,,1,,4.0,0,0,1,0,0,1,3,7,0,0,1
2033,0,0,1,1,2,3,6,0,1,1,0,1,1,1,0,1,0,1,6,1,,,,,1,1,3.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,0,5,8,0,0,0
2034,0,2,1,1,2,3,4,0,1,0,0,1,1,0,0,1,1,1,5,1,,,,,2,1,1.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,8,1,2,0,0,6,4,4,0,0,0
