,CVE_ENT,SITUACION_CONYUGAL,PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
BIENES_DE_VIVIENDA,0.04411091325362504,0.006257949631137172,0.009564996184177077,0.006563215466802319,0.005189519206308835,0.3800859348055039,0.04166878656830324,0.015619435258204039,0.03999067594003232,2466279144.740438,,0.008089544645128477,0.01505978122615106,0.005091649694500999,0.004264063704084253,0.014449249554820676,0.016738743322309846,0.002798270160264571,0.002645637242431964,0.010805248263442247,0.009005342152124118,0.007089552238805985,0.0014754515390486,0.0003205128205128194,-4.0686196407722873e+21,0.005611899932386755,0.0007528905619790472,6.524829227004245,0.00839481048079369,0.00585092851691682,0.13558890867463752,0.001851148527794888,0.0,0.0,0.0,0.010582548969727767,0.01831595013991354,0.008293055202238619,0.004935131009921134,0.0211650979394556,0.007275502416687863,0.03352836428389723
PAREN,0.001322818621215971,0.06639531925718649,0.0,0.028898499109641283,0.0,0.003652973720913777,0.0,0.0,0.5659449594176419,40458146.120507814,0.00035614347494274947,,0.18280335792419228,0.20336048879837065,0.188646288209607,0.0,0.0001526329178326069,0.0,0.0003052658356652138,0.0,0.0,0.0033049040511726967,0.013838717883490226,0.0,-3.1140290286511696e+23,0.0,0.0008604463565474729,6.929180223100704,0.0,0.00010175527855507127,0.010022894937674876,1.8031849235988773e-08,0.0,0.0,0.0,0.0,0.0015263291783261356,0.0,0.0,0.0004578987534978207,0.00035614347494274947,0.0
EDAD,0.004935131009921134,-0.004171966420758055,0.00040702111422028506,0.0001526329178326069,0.0005087763927753564,0.014769287272926191,0.0021368608496566076,0.0005087763927753564,0.09917890854273408,410354735.7225647,0.0013736962604935289,0.06415670312897481,,0.03854378818737274,0.06478294374518365,0.010073772576952434,0.035868735690663976,0.0036123123887051634,0.015772068176036623,0.009570362747620265,0.004171966420758099,0.089818763326226,0.0045789875349783625,0.0014957264957264904,-1.2069341871804966e+23,0.0003380662609871798,0.0006991126646948009,10.110116461041978,0.008750953955736463,0.030628338845077586,0.005545662681251562,0.0018788193175355073,0.0006105316713304276,0.00020351055711014253,0.0,0.00010175527855507127,0.0049351310099211565,0.0012719409819384353,0.012566776901551769,0.023098448232002043,0.004121088781480542,0.00814042228440599
RES_MADRE,0.0,-0.00025438819638765595,0.0,0.0,0.0,0.002503482202094021,0.0,0.0,0.009586180267739785,593321829.6195389,0.0,0.158636479267362,0.007784278809463174,,0.08276393526843048,0.0,0.0,0.0008649198677181058,0.0,0.0,0.0,0.0,0.0,0.0,5.255291173823605e+21,0.0,0.0,15.79882699231772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087763927753563e-05
RES_PADRE,0.0,-0.0035614347494276055,0.0,0.0,0.0,0.0016001767953615297,0.0007631645891630345,0.0,0.007333207572809397,987114097.380352,5.087763927753563e-05,0.05550750445179344,0.015110658865428594,0.05519348268839106,,0.00020351055711014253,0.00010175527855507127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.747775160389154e+18,0.0,0.0,0.18733172871914405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002543881963876893,0.0,0.0,0.0,0.0,0.0,0.0
ESCOLARIDAD,0.00646146018824727,0.0030526583566522713,0.0,0.0004578987534978207,0.0001526329178326069,0.030521171719445305,0.00020351055711014253,0.0025947596031544286,0.03745329148573806,-13898477.84451065,0.0001526329178326069,0.00040702111422028506,0.01602645637242426,0.00015274949083505797,5.137426149499635e-05,,0.3153904858814551,0.012973798015772054,0.0263037395064869,5.1453563159253866e-05,5.087763927753563e-05,0.0,0.007173747138132791,0.0,-9.35972805270936e+18,0.00047329276538203845,0.0,0.5557310732568743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002543881963876782,0.0,0.0003052658356652138,0.005901806156194356,0.001170185703383364,0.0066649707453573905,0.01058254896972779
GRADO_ESCOLAR,0.013380819129992338,0.000610531671330472,0.001119308064105784,0.00020351055711014253,0.0003052658356652138,0.023133586963780473,0.0007122869498854989,0.0026965148817095,0.013094821503701448,1934629470.8448129,0.0,0.0010684304248282483,0.007733401170185639,0.0009164969450101701,0.0006164911379398896,0.2794708725515136,,0.006817603663189997,0.012515899262274232,0.0024697710316439413,0.0014754515390486,0.00031982942430706094,0.00010175527855507127,0.00021367521367521292,-2.4564884472075344e+20,0.0,0.0002688894864210756,3.428159935842031,0.0001526329178326069,0.0,0.0007122869498854989,0.0008206731201765294,0.00020351055711014253,0.0005087763927753564,0.0012719409819384353,0.00020351055711014253,0.0006614093106079632,0.0006614093106079632,0.0005087763927753564,0.001119308064105784,0.007428135334520469,0.0023912490460442637
ALFABETISMO,0.0,0.0002543881963876782,0.0,0.0,0.0,4.05337182620924e-05,0.0,0.0,0.0001506164575425739,-1645727.2458938598,0.0,0.0,-0.00010175527855511568,0.0,0.0,0.0,0.0006105316713304276,,0.0,0.0,0.0,0.0,0.0,0.0,1.1319849919511212e+19,0.0,0.0,0.0008900844658040307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005087763927753564,0.0
ASISTENCIA_ESC,0.00020351055711014253,-0.0018824726532688629,0.0,0.0,0.0,0.00039781224288373276,0.0,0.0,0.00010691015340345001,-104979093.89878769,0.0,0.0,-0.0001526329178326735,0.0,0.0,0.006105316713304498,0.003205291274484856,0.0,,0.0,0.0,0.0,0.0002543881963876782,0.0,1.1640600612055454e+21,0.0,0.0,0.019014324614092894,0.0002543881963876782,0.0023403714067667504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERT_INDIGENA,0.05469346222335283,0.0004070211142203295,0.0,0.0,0.0,0.001279987158726925,0.00020351055711014253,0.00040702111422028506,0.0009119115397903776,394865325.1317337,0.0,0.0,0.0014245738997709979,0.0,0.0,0.0,0.0,0.0,0.0,,0.06771813787840246,0.0008528784648187404,0.0,0.0,-1.1837167882607425e+22,0.0,0.0,4.156637074604026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LENG_INDIGENA,0.0007122869498854989,0.0009157975069957081,0.0,0.0,0.0,0.0031277398588077875,0.0,0.0,0.0008922672260543551,325707710.05606997,0.0,0.0,-0.0010175527855508237,0.0,0.0,0.0,0.0,0.0,0.0,0.08808850012863392,,0.0,0.0,0.0,-3.4286027457976863e+18,0.0,0.0,0.7945894532852181,0.0,0.00997201729839734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021368608496566076,0.0
VERIF_SITUACION_PAREJA,0.024166878656830336,-0.011498346476723454,0.0,5.087763927753563e-05,0.0001526329178326069,0.014284259060124005,5.087763927753563e-05,0.0007122869498854989,0.0029236141775721425,414008034.436982,0.00010175527855507127,0.0008649198677181058,0.013533452047824945,0.0,0.0022604675057796174,0.00010175527855507127,0.0014754515390486222,0.0,0.0,0.0,0.00040702111422028506,,0.0009666751462731992,0.0,6.270960391904297e+17,0.0,0.0,5.1774930481397075,0.0016789620961587648,0.0,0.006105316713304498,1.5358916360952434e-10,0.0,0.0,0.0,0.0002543881963876782,0.04548460951411857,0.0,0.0,0.0,0.001322818621215971,0.0
ENTREVISTADA_TRABAJA,0.000559654032052892,-0.001322818621215971,0.0001526329178326069,0.0,0.0,0.0018041443428068681,0.0,0.0,0.0003306256124015139,249678359.11939162,0.0,0.028033579241923158,0.0013228186212159265,0.00025458248472507437,0.0,0.0,0.0,0.0,0.0010684304248282706,0.0,0.0,0.0,,0.0,1.1553476453573629e+21,0.0,0.00043022317827372535,1.5652438764372776,0.07662172475197151,0.0,0.0,3.8034273508458225e-10,0.0,0.0,0.0,0.0348511829051132,0.0,0.0,0.0,0.0,0.004782498092088572,0.0
PAREJA_TRABAJA,0.0,0.018214194861358446,0.0,0.0,0.0,0.004081741576438413,0.0,0.0,0.003623619410355805,6462995422.377653,0.0,0.0,-0.014907148308318519,0.0,0.0,0.0,0.0002543881963876782,0.0,0.0,0.00020581425263701547,0.0,0.0,0.0,,0.0,0.0,0.0,17.200454660705724,0.0,0.0,0.0,1.0392723772123524e-05,0.0,0.00035614347494274947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAREJA_GANANCIAS,0.04930043245993385,0.08710251844314429,0.005393029763418977,0.0019842279318239785,0.004121088781480519,0.03824934435721568,0.004629865174255898,0.004477232256423313,0.027671370245278926,2870190232.0161276,0.0019333502925464653,0.0017807173747138362,0.011650979394556038,0.0033604887983706535,0.001643976367839728,0.017196642075807688,0.012363266344441603,0.002391249046044286,0.0019333502925464653,0.016413686647800362,0.004731620452810992,0.006769722814498924,0.0016789620961587648,0.1200320512820513,,0.33022312373225154,0.01086313525141167,5698.339159733396,0.031442381073518176,0.004273721699313127,0.0057491732383617485,6.450629761456383e-08,0.0,0.0,0.0,0.009768506741287219,0.016382599847367074,0.01205800050877639,0.004782498092088527,0.005342152124141464,0.06023912490460444,0.009361485627066912
PAREJA_GANANCIAS_FRECUENCIA,0.00010175527855507127,5.087763927755784e-05,0.0,0.0,0.0,0.021449004628198855,0.0,0.0,0.01680758610739983,-50298708.23115158,0.0,0.0002543881963876782,-5.0877639277580045e-05,0.00020366598778007728,0.0,0.0,0.0002543881963876782,0.0,0.0,0.0001543606894777616,0.0,0.0,0.0,0.0,-7.749307671944235e+23,,0.0,5842.628069436464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024421266853218216,0.0002543881963876782
PAREJA_APORTA_PARA_GASTO,0.0,0.025794963113711544,0.0,0.0,0.0,0.008074531204404444,0.0,0.0006614093106079632,0.0022618996547073998,1664387032.9935753,0.00040702111422028506,0.0002543881963876782,0.00045789875349779854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004578987534978207,0.0,0.002543881963876893,0.0,-1.5247029264659252e+16,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAREJA_CUANTO_APORTA_GASTO,0.04075298906130755,0.016993131518697524,0.0015772068176036712,0.001322818621215971,0.0023403714067667504,0.01684468237854162,0.00646146018824727,0.004680742813533456,0.016086450638803252,874057806.4799324,0.0008140422284405701,0.004426354617145733,0.011142203001780681,0.0029531568228105876,0.004109940919599287,0.0020859832103790723,0.009972017298397362,0.0011193080641058062,0.0057491732383617485,0.013429379984563927,0.009666751462732126,0.004157782515991459,0.005342152124141441,0.0,-1.69352643393509e+23,0.04489519945909397,0.1063726808281796,,0.029712541338081922,0.0011701857033833418,0.0019842279318240006,3.653749678778073e-05,0.0,0.0,0.0,0.0036123123887051634,0.013991350801322832,0.006970236581022649,0.0070719918595777195,0.006563215466802319,0.007784278809463241,0.012363266344441626
LIBERTAD_USAR_DINERO,0.0001526329178326069,-0.0031035359959297624,0.0003052658356652138,0.0,0.0,0.004916340931469265,0.00010175527855507127,0.0,0.008422660979210317,236466778.21574172,0.0001526329178326069,0.0,0.0024930043245992685,0.0003564154786150908,0.0,0.0,0.0,0.0,0.001729839735436256,0.00025726781579626934,0.0,0.0,0.07087255151360979,0.0,-1.0107338373236028e+21,0.0,0.0,0.5097439910403083,,0.0,0.0016789620961587648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002543881963876782,0.0,0.0008140422284405701,0.0
FUENTES_DE_DINERO,0.0011701857033833418,-0.0011193080641058283,0.0,0.0,0.0,0.0014461722313742875,0.0,0.0006614093106079632,0.015140056787093403,20808538.69969406,0.00020351055711014253,0.0,0.003001780717374647,0.0,0.0,0.0,0.0,0.003357924192317463,0.0021877384889341213,0.0,0.004070211142202984,0.0,0.00040702111422028506,0.0,-1.9215114831065513e+18,0.0,0.0,0.5100906819010238,0.0001526329178326069,,0.0030017807173747134,0.0,0.0,0.0,0.0,0.0007122869498854989,0.0,0.0,0.0,0.0,0.0,0.0
