,CVE_ENT,SITUACION_CONYUGAL,PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES
VERIF_SITUACION_PAREJA,0.050762948635289074,0.005114979583064639,0.0,0.0,0.0,58128143.81968216,4.2983021706421984e-05,0.00017193208682568794,0.00047281323877066404,0.0
ENTREVISTADA_TRABAJA,0.0009026434558349727,0.004642166344293952,0.0,0.0,4.2983021706421984e-05,2117408.6290118983,0.0,0.0,0.0,0.0
PAREJA_TRABAJA,-0.0007736943907156624,0.016075650118203222,0.0,0.0,0.0,242723430.8497928,0.0,0.0,0.0,0.00017193208682568794
PAREJA_GANANCIAS,0.004857081452826128,0.06292714377820756,0.0,0.003309692671394804,0.0003438641736513981,100641443.26122627,0.0,0.002106168063614899,0.0023640661938534534,0.00021491510853210993
PAREJA_GANANCIAS_FRECUENCIA,0.0023640661938534313,0.007135181603266672,0.0,0.0025789813023855634,0.00012894906511926597,89472658.01540849,0.0,0.00012894906511926597,0.00021491510853213213,0.0
PAREJA_APORTA_PARA_GASTO,0.002192134107027721,0.025488931871910547,0.0,0.0,0.0,9617087320.073402,0.0,0.0,0.0,0.0
PAREJA_CUANTO_APORTA_GASTO,0.07930367504835592,0.03975929507844396,0.005974640017193234,0.0014184397163120367,0.004427251235761864,3409721152.689856,0.006060606060606055,0.003137760584569116,0.0024070492155598535,0.0003008811519449983
LIBERTAD_USAR_DINERO,0.0007307113690092848,0.004900064474532529,0.0,0.0,0.0,517322.1631092046,0.0,0.0,0.0,0.0
FUENTES_DE_DINERO,0.002020202020202033,0.002707930367504785,0.0,0.0,0.0,106325979.07854924,4.2983021706421984e-05,0.0007307113690092404,0.016548463356974,0.0010745755426606607
PROPIEDADES_DEL_HOGAR,0.0023640661938534755,0.007565011820330913,0.00042983021706426426,0.00034386417365137587,0.00017193208682568794,22901815.261860047,8.596604341284397e-05,4.2983021706421984e-05,4.2983021706421984e-05,0.0
NUM_EMBARAZOS,0.00021491510853215433,0.007221147646679494,0.0,0.0,0.0,108669980.76913956,0.0,0.0,0.00017193208682568794,0.0
NACIO_VIV,8.596604341284397e-05,0.0024930152589726527,0.0,0.0007307113690092848,0.00038684719535779787,3029681416.4740744,0.0,0.002321083172147009,0.05888673973780356,0.0
NACIO_MUERT,4.2983021706421984e-05,-0.001117558564367127,0.0,0.0,0.0,106265.26727748485,0.0,0.0,0.0,0.0
ABORTO,4.2983021706421984e-05,0.0024930152589726306,0.0,0.0,0.0,3343206.1662794366,0.0,0.0,0.0,0.0
ANIO_PARTO,0.006103589082312522,0.014614227380184785,0.0015903718031377468,0.0009026434558349506,0.0024070492155598535,68042292.42704788,0.0015044057597248806,0.0015044057597249027,0.0017193208682570126,0.0009026434558349506
MES_PARTO,0.07805716741886956,0.034644315495379274,0.03752417794970988,0.022007307113690124,0.04530410487857295,1047906024.855588,0.04981732215774768,0.04156458199011388,0.04814098431119709,0.0021491510853212993
DONDE_ATENDIO_PARTO,0.02682140554480983,0.0072641306683859375,0.0,0.0025789813023855412,0.0,42313237.86961296,0.0004298302170642421,0.0,0.00017193208682568794,0.0
P10_8_abuso,0.0011175585643670826,0.004083387062110422,0.0,0.0,0.0,70480670.94892347,0.0,0.0,0.0,0.0
P10_8_atencion,0.00012894906511926597,0.002578981302385519,0.0,0.0,0.0,7392359.463952363,0.0,0.0,0.0,0.00038684719535779787
SERVICIOS_MEDICOS_AFILIADA,0.00885450247152375,0.011046636578551405,8.596604341284397e-05,0.0006017623038899744,8.596604341284397e-05,2952439073.3981485,0.0009456264775413947,0.00030088115194495393,0.00025789813023853193,0.00012894906511926597
DONDE_CONSULTAS_PRENATALES,0.01779497098646039,0.01826778422523099,0.0003438641736513981,8.596604341284397e-05,0.0005587792821835525,2888045964.4758334,0.0007307113690092848,0.0007736943907157068,0.00034386417365137587,0.0015473887814313025
